Year,Division,Team,Wins,Losses
1975,East,Boston Red Sox,95.0,65
1975,East,Baltimore Orioles,90.0,69
1975,East,New York Yankees,83.0,77
1975,East,Cleveland Indians,79.0,80
1975,East,Milwaukee Brewers,68.0,94
1975,East,Detroit Tigers,57.0,102
1975,West,Oakland Athletics,98.0,64
1975,West,Kansas City Royals,91.0,71
1975,West,Texas Rangers,79.0,83
1975,West,Minnesota Twins,76.0,83
1975,West,Chicago White Sox,75.0,86
1975,West,California Angels,72.0,89
1976,East,New York Yankees,97.0,62
1976,East,Baltimore Orioles,88.0,74
1976,East,Boston Red Sox,83.0,79
1976,East,Cleveland Indians,81.0,78
1976,East,Detroit Tigers,74.0,87
1976,East,Milwaukee Brewers,66.0,95
1976,West,Kansas City Royals,90.0,72
1976,West,Oakland Athletics,87.0,74
1976,West,Minnesota Twins,85.0,77
1976,West,Texas Rangers,76.0,86
1976,West,California Angels,76.0,86
1976,West,Chicago White Sox,64.0,97
1977,East,New York Yankees,100.0,62
1977,East,Baltimore Orioles,97.0,64
1977,East,Boston Red Sox,97.0,64
1977,East,Detroit Tigers,74.0,88
1977,East,Cleveland Indians,71.0,90
1977,East,Milwaukee Brewers,67.0,95
1977,East,Toronto Blue Jays,54.0,107
1977,West,Kansas City Royals,102.0,60
1977,West,Texas Rangers,94.0,68
1977,West,Chicago White Sox,90.0,72
1977,West,Minnesota Twins,84.0,77
1977,West,California Angels,74.0,88
1977,West,Seattle Mariners,64.0,98
1977,West,Oakland Athletics,63.0,98
1978,East,New York Yankees,100.0,63
1978,East,Boston Red Sox,99.0,64
1978,East,Milwaukee Brewers,93.0,69
1978,East,Baltimore Orioles,90.0,71
1978,East,Detroit Tigers,86.0,76
1978,East,Cleveland Indians,69.0,90
1978,East,Toronto Blue Jays,59.0,102
1978,West,Kansas City Royals,92.0,70
1978,West,Texas Rangers,87.0,75
1978,West,California Angels,87.0,75
1978,West,Minnesota Twins,73.0,89
1978,West,Chicago White Sox,71.0,90
1978,West,Oakland Athletics,69.0,93
1978,West,Seattle Mariners,56.0,104
1979,East,Baltimore Orioles,102.0,57
1979,East,Milwaukee Brewers,95.0,66
1979,East,Boston Red Sox,91.0,69
1979,East,New York Yankees,89.0,71
1979,East,Detroit Tigers,85.0,76
1979,East,Cleveland Indians,81.0,80
1979,East,Toronto Blue Jays,53.0,109
1979,West,California Angels,88.0,74
1979,West,Kansas City Royals,85.0,77
1979,West,Texas Rangers,83.0,79
1979,West,Minnesota Twins,82.0,80
1979,West,Chicago White Sox,73.0,87
1979,West,Seattle Mariners,67.0,95
1979,West,Oakland Athletics,54.0,108
1980,East,New York Yankees,103.0,59
1980,East,Baltimore Orioles,100.0,62
1980,East,Milwaukee Brewers,86.0,76
1980,East,Boston Red Sox,83.0,77
1980,East,Detroit Tigers,84.0,78
1980,East,Cleveland Indians,79.0,81
1980,East,Toronto Blue Jays,67.0,95
1980,West,Kansas City Royals,97.0,65
1980,West,Oakland Athletics,83.0,79
1980,West,Minnesota Twins,77.0,84
1980,West,Texas Rangers,76.0,85
1980,West,Chicago White Sox,70.0,90
1980,West,California Angels,65.0,95
1980,West,Seattle Mariners,59.0,103
1981,East,Milwaukee Brewers,,62
1981,East,Milwaukee Brewers,,31
1981,East,Baltimore Orioles,,59
1981,East,Baltimore Orioles,,31
1981,East,Baltimore Orioles,,28
1981,East,New York Yankees,,59
1981,East,New York Yankees,,34
1981,East,New York Yankees,,25
1981,East,Detroit Tigers,,60
1981,East,Detroit Tigers,,31
1981,East,Detroit Tigers,,29
1981,East,Boston Red Sox,,59
1981,East,Boston Red Sox,,30
1981,East,Boston Red Sox,,29
1981,East,Cleveland Indians,,52
1981,East,Cleveland Indians,,26
1981,East,Toronto Blue Jays,,37
1981,East,Toronto Blue Jays,,16
1981,East,Toronto Blue Jays,,21
1981,West,Oakland Athletics,,64
1981,West,Oakland Athletics,,37
1981,West,Oakland Athletics,,27
1981,West,Texas Rangers,,57
1981,West,Texas Rangers,,33
1981,West,Texas Rangers,,24
1981,West,Chicago White Sox,,54
1981,West,Chicago White Sox,,31
1981,West,Chicago White Sox,,23
1981,West,Kansas City Royals,,50
1981,West,Kansas City Royals,,20
1981,West,Kansas City Royals,,30
1981,West,California Angels,,51
1981,West,California Angels,,31
1981,West,California Angels,,20
1981,West,Seattle Mariners,,44
1981,West,Seattle Mariners,,21
1981,West,Seattle Mariners,,23
1981,West,Minnesota Twins,,41
1981,West,Minnesota Twins,,17
1981,West,Minnesota Twins,,24
1982,East,Milwaukee Brewers,95.0,67
1982,East,Baltimore Orioles,94.0,68
1982,East,Boston Red Sox,89.0,73
1982,East,Detroit Tigers,83.0,79
1982,East,New York Yankees,79.0,83
1982,East,Toronto Blue Jays,78.0,84
1982,East,Cleveland Indians,78.0,84
1982,West,California Angels,93.0,69
1982,West,Kansas City Royals,90.0,72
1982,West,Chicago White Sox,87.0,75
1982,West,Seattle Mariners,76.0,86
1982,West,Oakland Athletics,68.0,94
1982,West,Texas Rangers,64.0,98
1982,West,Minnesota Twins,60.0,102
1983,East,Baltimore Orioles,98.0,64
1983,East,Detroit Tigers,92.0,70
1983,East,New York Yankees,91.0,71
1983,East,Toronto Blue Jays,89.0,73
1983,East,Milwaukee Brewers,87.0,75
1983,East,Boston Red Sox,78.0,84
1983,East,Cleveland Indians,70.0,92
1983,West,Chicago White Sox,99.0,63
1983,West,Kansas City Royals,79.0,83
1983,West,Texas Rangers,77.0,85
1983,West,Oakland Athletics,74.0,88
1983,West,California Angels,70.0,92
1983,West,Minnesota Twins,70.0,92
1983,West,Seattle Mariners,60.0,102
1984,East,Detroit Tigers,104.0,58
1984,East,Toronto Blue Jays,89.0,73
1984,East,New York Yankees,87.0,75
1984,East,Boston Red Sox,86.0,76
1984,East,Baltimore Orioles,85.0,77
1984,East,Cleveland Indians,75.0,87
1984,East,Milwaukee Brewers,67.0,94
1984,West,Kansas City Royals,84.0,78
1984,West,California Angels,81.0,81
1984,West,Minnesota Twins,81.0,81
1984,West,Oakland Athletics,77.0,85
1984,West,Seattle Mariners,74.0,88
1984,West,Chicago White Sox,74.0,88
1984,West,Texas Rangers,69.0,92
1985,East,Toronto Blue Jays,99.0,62
1985,East,New York Yankees,97.0,64
1985,East,Detroit Tigers,84.0,77
1985,East,Baltimore Orioles,83.0,78
1985,East,Boston Red Sox,81.0,81
1985,East,Milwaukee Brewers,71.0,90
1985,East,Cleveland Indians,60.0,102
1985,West,Kansas City Royals,91.0,71
1985,West,California Angels,90.0,72
1985,West,Chicago White Sox,85.0,77
1985,West,Minnesota Twins,77.0,85
1985,West,Oakland Athletics,77.0,85
1985,West,Seattle Mariners,74.0,88
1985,West,Texas Rangers,62.0,99
1986,East,Boston Red Sox,95.0,66
1986,East,New York Yankees,90.0,72
1986,East,Detroit Tigers,87.0,75
1986,East,Toronto Blue Jays,86.0,76
1986,East,Cleveland Indians,84.0,78
1986,East,Milwaukee Brewers,77.0,84
1986,East,Baltimore Orioles,73.0,89
1986,West,California Angels,92.0,70
1986,West,Texas Rangers,87.0,75
1986,West,Kansas City Royals,76.0,86
1986,West,Oakland Athletics,76.0,86
1986,West,Chicago White Sox,72.0,90
1986,West,Minnesota Twins,71.0,91
1986,West,Seattle Mariners,67.0,95
1987,East,Detroit Tigers,98.0,64
1987,East,Toronto Blue Jays,96.0,66
1987,East,Milwaukee Brewers,91.0,71
1987,East,New York Yankees,89.0,73
1987,East,Boston Red Sox,78.0,84
1987,East,Baltimore Orioles,67.0,95
1987,East,Cleveland Indians,61.0,101
1987,West,Minnesota Twins,85.0,77
1987,West,Kansas City Royals,83.0,79
1987,West,Oakland Athletics,81.0,81
1987,West,Seattle Mariners,78.0,84
1987,West,Chicago White Sox,77.0,85
1987,West,Texas Rangers,75.0,87
1987,West,California Angels,75.0,87
1988,East,Boston Red Sox,89.0,73
1988,East,Detroit Tigers,88.0,74
1988,East,Toronto Blue Jays,87.0,75
1988,East,Milwaukee Brewers,87.0,75
1988,East,New York Yankees,85.0,76
1988,East,Cleveland Indians,78.0,84
1988,East,Baltimore Orioles,54.0,107
1988,West,Oakland Athletics,104.0,58
1988,West,Minnesota Twins,91.0,71
1988,West,Kansas City Royals,84.0,77
1988,West,California Angels,75.0,87
1988,West,Chicago White Sox,71.0,90
1988,West,Texas Rangers,70.0,91
1988,West,Seattle Mariners,68.0,93
1989,East,Toronto Blue Jays,89.0,73
1989,East,Baltimore Orioles,87.0,75
1989,East,Boston Red Sox,83.0,79
1989,East,Milwaukee Brewers,81.0,81
1989,East,New York Yankees,74.0,87
1989,East,Cleveland Indians,73.0,89
1989,East,Detroit Tigers,59.0,103
1989,West,Oakland Athletics,99.0,63
1989,West,Kansas City Royals,92.0,70
1989,West,California Angels,91.0,71
1989,West,Texas Rangers,83.0,79
1989,West,Minnesota Twins,80.0,82
1989,West,Seattle Mariners,73.0,89
1989,West,Chicago White Sox,69.0,92
1990,East,Boston Red Sox,88.0,74
1990,East,Toronto Blue Jays,86.0,76
1990,East,Detroit Tigers,79.0,83
1990,East,Cleveland Indians,77.0,85
1990,East,Baltimore Orioles,76.0,85
1990,East,Milwaukee Brewers,74.0,88
1990,East,New York Yankees,67.0,95
1990,West,Oakland Athletics,103.0,59
1990,West,Chicago White Sox,94.0,68
1990,West,Texas Rangers,83.0,79
1990,West,California Angels,80.0,82
1990,West,Seattle Mariners,77.0,85
1990,West,Kansas City Royals,75.0,86
1990,West,Minnesota Twins,74.0,88
1991,East,Toronto Blue Jays,91.0,71
1991,East,Detroit Tigers,84.0,78
1991,East,Boston Red Sox,84.0,78
1991,East,Milwaukee Brewers,83.0,79
1991,East,New York Yankees,71.0,91
1991,East,Baltimore Orioles,67.0,95
1991,East,Cleveland Indians,57.0,105
1991,West,Minnesota Twins,95.0,67
1991,West,Chicago White Sox,87.0,75
1991,West,Texas Rangers,85.0,77
1991,West,Oakland Athletics,84.0,78
1991,West,Seattle Mariners,83.0,79
1991,West,Kansas City Royals,82.0,80
1991,West,California Angels,81.0,81
1992,East,Toronto Blue Jays,96.0,66
1992,East,Milwaukee Brewers,92.0,70
1992,East,Baltimore Orioles,89.0,73
1992,East,New York Yankees,76.0,86
1992,East,Cleveland indians,76.0,86
1992,East,Detroit Tigers,75.0,87
1992,East,Boston Red Sox,73.0,89
1992,West,Oakland Athletics,96.0,66
1992,West,Minnesota Twins,90.0,72
1992,West,Chicago White Sox,86.0,76
1992,West,Texas Rangers,77.0,85
1992,West,Kansas City Royals,72.0,90
1992,West,California Angels,72.0,90
1992,West,Seattle Mariners,64.0,98
1993,East,Toronto Blue Jays,95.0,67
1993,East,New York Yankees,88.0,74
1993,East,Baltimore Orioles,85.0,77
1993,East,Detroit Tigers,85.0,77
1993,East,Boston Red Sox,80.0,82
1993,East,Cleveland Indians,76.0,86
1993,East,Milwaukee Brewers,69.0,93
1993,West,Chicago White Sox,94.0,68
1993,West,Texas Rangers,86.0,76
1993,West,Kansas City Royals,84.0,78
1993,West,Seattle Mariners,82.0,80
1993,West,California Angels,71.0,91
1993,West,Minnesota Twins,71.0,91
1993,West,Oakland Athletics,68.0,94
1994,East,New York Yankees,70.0,43
1994,East,Baltimore Orioles,63.0,49
1994,East,Toronto Blue Jays,55.0,60
1994,East,Boston Red Sox,54.0,61
1994,East,Detroit Tigers,53.0,62
1994,Central,Chicago White Sox,67.0,46
1994,Central,Cleveland Indians,66.0,47
1994,Central,Kansas City Royals,64.0,51
1994,Central,Minnesota Twins,53.0,60
1994,Central,Milwaukee Brewers,53.0,62
1994,West,Texas Rangers,52.0,62
1994,West,Oakland Athletics,51.0,63
1994,West,Seattle Mariners,49.0,63
1994,West,California Angels,47.0,68
1995,East,Boston Red Sox,86.0,58
1995,East,New York Yankees,79.0,65
1995,East,Baltimore Orioles,71.0,73
1995,East,Detroit Tigers,60.0,84
1995,East,Toronto Blue Jays,56.0,88
1995,Central,Cleveland Indians,100.0,44
1995,Central,Kansas City Royals,70.0,74
1995,Central,Chicago White Sox,68.0,76
1995,Central,Milwaukee Brewers,65.0,79
1995,Central,Minnesota Twins,56.0,88
1995,West,Seattle Mariners,79.0,66
1995,West,California Angels,78.0,67
1995,West,Texas Rangers,74.0,70
1995,West,Oakland Athletics,67.0,77
1996,East,New York Yankees,92.0,70
1996,East,Baltimore Orioles,88.0,74
1996,East,Boston Red Sox,85.0,77
1996,East,Toronto Blue Jays,74.0,88
1996,East,Detroit Tigers,53.0,109
1996,Central,Cleveland Indians,99.0,62
1996,Central,Chicago White Sox,85.0,77
1996,Central,Milwaukee Brewers,80.0,82
1996,Central,Minnesota Twins,78.0,84
1996,Central,Kansas City Royals,75.0,86
1996,West,Texas Rangers,90.0,72
1996,West,Seattle Mariners,85.0,76
1996,West,Oakland Athletics,78.0,84
1996,West,California Angels,70.0,91
1997,East,Baltimore Orioles,98.0,64
1997,East,New York Yankees,96.0,66
1997,East,Detroit Tigers,79.0,83
1997,East,Boston Red Sox,78.0,84
1997,East,Toronto Blue Jays,76.0,86
1997,Central,Cleveland Indians,86.0,75
1997,Central,Chicago White Sox,80.0,81
1997,Central,Milwaukee Brewers,78.0,83
1997,Central,Minnesota Twins,68.0,94
1997,Central,Kansas City Royals,67.0,94
1997,West,Seattle Mariners,90.0,72
1997,West,Anaheim Angels,84.0,78
1997,West,Texas Rangers,77.0,85
1997,West,Oakland Athletics,65.0,97
1998,East,New York Yankees,114.0,48
1998,East,Boston Red Sox,92.0,70
1998,East,Toronto Blue Jays,88.0,74
1998,East,Baltimore Orioles,79.0,83
1998,East,Tampa Bay Devil Rays,63.0,99
1998,Central,Cleveland Indians,89.0,73
1998,Central,Chicago White Sox,80.0,82
1998,Central,Kansas City Royals,72.0,89
1998,Central,Minnesota Twins,70.0,92
1998,Central,Detroit Tigers,65.0,97
1998,West,Texas Rangers,88.0,74
1998,West,Anaheim Angels,85.0,77
1998,West,Seattle Mariners,76.0,85
1998,West,Oakland Athletics,74.0,88
1999,East,New York Yankees,98.0,64
1999,East,Boston Red Sox,94.0,68
1999,East,Toronto Blue Jays,84.0,78
1999,East,Baltimore Orioles,78.0,84
1999,East,Tampa Bay Devil Rays,69.0,93
1999,Central,Cleveland Indians,97.0,65
1999,Central,Chicago White Sox,75.0,86
1999,Central,Detroit Tigers,69.0,92
1999,Central,Kansas City Royals,64.0,97
1999,Central,Minnesota Twins,63.0,97
1999,West,Texas Rangers,95.0,67
1999,West,Oakland Athletics,87.0,75
1999,West,Seattle Mariners,79.0,83
1999,West,Anaheim Angels,70.0,92
2000,East,New York Yankees,87.0,74
2000,East,Boston Red Sox,85.0,77
2000,East,Toronto Blue Jays,83.0,79
2000,East,Baltimore Orioles,74.0,88
2000,East,Tampa Bay Devil Rays,69.0,92
2000,Central,Chicago White Sox,95.0,67
2000,Central,Cleveland Indians,90.0,72
2000,Central,Detroit Tigers,79.0,83
