Year,URL,Type of League
1901,https://www.baseball-almanac.com/yearly/yr1901a.shtml,American League
1902,https://www.baseball-almanac.com/yearly/yr1902a.shtml,American League
1903,https://www.baseball-almanac.com/yearly/yr1903a.shtml,American League
1904,https://www.baseball-almanac.com/yearly/yr1904a.shtml,American League
1905,https://www.baseball-almanac.com/yearly/yr1905a.shtml,American League
1906,https://www.baseball-almanac.com/yearly/yr1906a.shtml,American League
1907,https://www.baseball-almanac.com/yearly/yr1907a.shtml,American League
1908,https://www.baseball-almanac.com/yearly/yr1908a.shtml,American League
1909,https://www.baseball-almanac.com/yearly/yr1909a.shtml,American League
1910,https://www.baseball-almanac.com/yearly/yr1910a.shtml,American League
1911,https://www.baseball-almanac.com/yearly/yr1911a.shtml,American League
1912,https://www.baseball-almanac.com/yearly/yr1912a.shtml,American League
1913,https://www.baseball-almanac.com/yearly/yr1913a.shtml,American League
1914,https://www.baseball-almanac.com/yearly/yr1914a.shtml,American League
1915,https://www.baseball-almanac.com/yearly/yr1915a.shtml,American League
1916,https://www.baseball-almanac.com/yearly/yr1916a.shtml,American League
1917,https://www.baseball-almanac.com/yearly/yr1917a.shtml,American League
1918,https://www.baseball-almanac.com/yearly/yr1918a.shtml,American League
1919,https://www.baseball-almanac.com/yearly/yr1919a.shtml,American League
1920,https://www.baseball-almanac.com/yearly/yr1920a.shtml,American League
1921,https://www.baseball-almanac.com/yearly/yr1921a.shtml,American League
1922,https://www.baseball-almanac.com/yearly/yr1922a.shtml,American League
1923,https://www.baseball-almanac.com/yearly/yr1923a.shtml,American League
1924,https://www.baseball-almanac.com/yearly/yr1924a.shtml,American League
1925,https://www.baseball-almanac.com/yearly/yr1925a.shtml,American League
1926,https://www.baseball-almanac.com/yearly/yr1926a.shtml,American League
1927,https://www.baseball-almanac.com/yearly/yr1927a.shtml,American League
1928,https://www.baseball-almanac.com/yearly/yr1928a.shtml,American League
1929,https://www.baseball-almanac.com/yearly/yr1929a.shtml,American League
1930,https://www.baseball-almanac.com/yearly/yr1930a.shtml,American League
1931,https://www.baseball-almanac.com/yearly/yr1931a.shtml,American League
1932,https://www.baseball-almanac.com/yearly/yr1932a.shtml,American League
1933,https://www.baseball-almanac.com/yearly/yr1933a.shtml,American League
1934,https://www.baseball-almanac.com/yearly/yr1934a.shtml,American League
1935,https://www.baseball-almanac.com/yearly/yr1935a.shtml,American League
1936,https://www.baseball-almanac.com/yearly/yr1936a.shtml,American League
1937,https://www.baseball-almanac.com/yearly/yr1937a.shtml,American League
1938,https://www.baseball-almanac.com/yearly/yr1938a.shtml,American League
1939,https://www.baseball-almanac.com/yearly/yr1939a.shtml,American League
1940,https://www.baseball-almanac.com/yearly/yr1940a.shtml,American League
1941,https://www.baseball-almanac.com/yearly/yr1941a.shtml,American League
1942,https://www.baseball-almanac.com/yearly/yr1942a.shtml,American League
1943,https://www.baseball-almanac.com/yearly/yr1943a.shtml,American League
1944,https://www.baseball-almanac.com/yearly/yr1944a.shtml,American League
1945,https://www.baseball-almanac.com/yearly/yr1945a.shtml,American League
1946,https://www.baseball-almanac.com/yearly/yr1946a.shtml,American League
1947,https://www.baseball-almanac.com/yearly/yr1947a.shtml,American League
1948,https://www.baseball-almanac.com/yearly/yr1948a.shtml,American League
1949,https://www.baseball-almanac.com/yearly/yr1949a.shtml,American League
1950,https://www.baseball-almanac.com/yearly/yr1950a.shtml,American League
1951,https://www.baseball-almanac.com/yearly/yr1951a.shtml,American League
1952,https://www.baseball-almanac.com/yearly/yr1952a.shtml,American League
1953,https://www.baseball-almanac.com/yearly/yr1953a.shtml,American League
1954,https://www.baseball-almanac.com/yearly/yr1954a.shtml,American League
1955,https://www.baseball-almanac.com/yearly/yr1955a.shtml,American League
1956,https://www.baseball-almanac.com/yearly/yr1956a.shtml,American League
1957,https://www.baseball-almanac.com/yearly/yr1957a.shtml,American League
1958,https://www.baseball-almanac.com/yearly/yr1958a.shtml,American League
1959,https://www.baseball-almanac.com/yearly/yr1959a.shtml,American League
1960,https://www.baseball-almanac.com/yearly/yr1960a.shtml,American League
1961,https://www.baseball-almanac.com/yearly/yr1961a.shtml,American League
1962,https://www.baseball-almanac.com/yearly/yr1962a.shtml,American League
1963,https://www.baseball-almanac.com/yearly/yr1963a.shtml,American League
1964,https://www.baseball-almanac.com/yearly/yr1964a.shtml,American League
1965,https://www.baseball-almanac.com/yearly/yr1965a.shtml,American League
1966,https://www.baseball-almanac.com/yearly/yr1966a.shtml,American League
1967,https://www.baseball-almanac.com/yearly/yr1967a.shtml,American League
1968,https://www.baseball-almanac.com/yearly/yr1968a.shtml,American League
1969,https://www.baseball-almanac.com/yearly/yr1969a.shtml,American League
1970,https://www.baseball-almanac.com/yearly/yr1970a.shtml,American League
1971,https://www.baseball-almanac.com/yearly/yr1971a.shtml,American League
1972,https://www.baseball-almanac.com/yearly/yr1972a.shtml,American League
1973,https://www.baseball-almanac.com/yearly/yr1973a.shtml,American League
1974,https://www.baseball-almanac.com/yearly/yr1974a.shtml,American League
1975,https://www.baseball-almanac.com/yearly/yr1975a.shtml,American League
1976,https://www.baseball-almanac.com/yearly/yr1976a.shtml,American League
1977,https://www.baseball-almanac.com/yearly/yr1977a.shtml,American League
1978,https://www.baseball-almanac.com/yearly/yr1978a.shtml,American League
1979,https://www.baseball-almanac.com/yearly/yr1979a.shtml,American League
1980,https://www.baseball-almanac.com/yearly/yr1980a.shtml,American League
1981,https://www.baseball-almanac.com/yearly/yr1981a.shtml,American League
1982,https://www.baseball-almanac.com/yearly/yr1982a.shtml,American League
1983,https://www.baseball-almanac.com/yearly/yr1983a.shtml,American League
1984,https://www.baseball-almanac.com/yearly/yr1984a.shtml,American League
1985,https://www.baseball-almanac.com/yearly/yr1985a.shtml,American League
1986,https://www.baseball-almanac.com/yearly/yr1986a.shtml,American League
1987,https://www.baseball-almanac.com/yearly/yr1987a.shtml,American League
1988,https://www.baseball-almanac.com/yearly/yr1988a.shtml,American League
1989,https://www.baseball-almanac.com/yearly/yr1989a.shtml,American League
1990,https://www.baseball-almanac.com/yearly/yr1990a.shtml,American League
1991,https://www.baseball-almanac.com/yearly/yr1991a.shtml,American League
1992,https://www.baseball-almanac.com/yearly/yr1992a.shtml,American League
1993,https://www.baseball-almanac.com/yearly/yr1993a.shtml,American League
1994,https://www.baseball-almanac.com/yearly/yr1994a.shtml,American League
1995,https://www.baseball-almanac.com/yearly/yr1995a.shtml,American League
1996,https://www.baseball-almanac.com/yearly/yr1996a.shtml,American League
1997,https://www.baseball-almanac.com/yearly/yr1997a.shtml,American League
1998,https://www.baseball-almanac.com/yearly/yr1998a.shtml,American League
1999,https://www.baseball-almanac.com/yearly/yr1999a.shtml,American League
2000,https://www.baseball-almanac.com/yearly/yr2000a.shtml,American League
2001,https://www.baseball-almanac.com/yearly/yr2001a.shtml,American League
2002,https://www.baseball-almanac.com/yearly/yr2002a.shtml,American League
2003,https://www.baseball-almanac.com/yearly/yr2003a.shtml,American League
2004,https://www.baseball-almanac.com/yearly/yr2004a.shtml,American League
2005,https://www.baseball-almanac.com/yearly/yr2005a.shtml,American League
2006,https://www.baseball-almanac.com/yearly/yr2006a.shtml,American League
2007,https://www.baseball-almanac.com/yearly/yr2007a.shtml,American League
2008,https://www.baseball-almanac.com/yearly/yr2008a.shtml,American League
2009,https://www.baseball-almanac.com/yearly/yr2009a.shtml,American League
2010,https://www.baseball-almanac.com/yearly/yr2010a.shtml,American League
2011,https://www.baseball-almanac.com/yearly/yr2011a.shtml,American League
2012,https://www.baseball-almanac.com/yearly/yr2012a.shtml,American League
2013,https://www.baseball-almanac.com/yearly/yr2013a.shtml,American League
2014,https://www.baseball-almanac.com/yearly/yr2014a.shtml,American League
2015,https://www.baseball-almanac.com/yearly/yr2015a.shtml,American League
2016,https://www.baseball-almanac.com/yearly/yr2016a.shtml,American League
2017,https://www.baseball-almanac.com/yearly/yr2017a.shtml,American League
2018,https://www.baseball-almanac.com/yearly/yr2018a.shtml,American League
2019,https://www.baseball-almanac.com/yearly/yr2019a.shtml,American League
2020,https://www.baseball-almanac.com/yearly/yr2020a.shtml,American League
2021,https://www.baseball-almanac.com/yearly/yr2021a.shtml,American League
2022,https://www.baseball-almanac.com/yearly/yr2022a.shtml,American League
2023,https://www.baseball-almanac.com/yearly/yr2023a.shtml,American League
2024,https://www.baseball-almanac.com/yearly/yr2024a.shtml,American League
2025,https://www.baseball-almanac.com/yearly/yr2025a.shtml,American League
1876,https://www.baseball-almanac.com/yearly/yr1876n.shtml,National League
1877,https://www.baseball-almanac.com/yearly/yr1877n.shtml,National League
1878,https://www.baseball-almanac.com/yearly/yr1878n.shtml,National League
1879,https://www.baseball-almanac.com/yearly/yr1879n.shtml,National League
1880,https://www.baseball-almanac.com/yearly/yr1880n.shtml,National League
1881,https://www.baseball-almanac.com/yearly/yr1881n.shtml,National League
1882,https://www.baseball-almanac.com/yearly/yr1882n.shtml,National League
1883,https://www.baseball-almanac.com/yearly/yr1883n.shtml,National League
1884,https://www.baseball-almanac.com/yearly/yr1884n.shtml,National League
1885,https://www.baseball-almanac.com/yearly/yr1885n.shtml,National League
1886,https://www.baseball-almanac.com/yearly/yr1886n.shtml,National League
1887,https://www.baseball-almanac.com/yearly/yr1887n.shtml,National League
1888,https://www.baseball-almanac.com/yearly/yr1888n.shtml,National League
1889,https://www.baseball-almanac.com/yearly/yr1889n.shtml,National League
1890,https://www.baseball-almanac.com/yearly/yr1890n.shtml,National League
1891,https://www.baseball-almanac.com/yearly/yr1891n.shtml,National League
1892,https://www.baseball-almanac.com/yearly/yr1892n.shtml,National League
1893,https://www.baseball-almanac.com/yearly/yr1893n.shtml,National League
1894,https://www.baseball-almanac.com/yearly/yr1894n.shtml,National League
1895,https://www.baseball-almanac.com/yearly/yr1895n.shtml,National League
1896,https://www.baseball-almanac.com/yearly/yr1896n.shtml,National League
1897,https://www.baseball-almanac.com/yearly/yr1897n.shtml,National League
1898,https://www.baseball-almanac.com/yearly/yr1898n.shtml,National League
1899,https://www.baseball-almanac.com/yearly/yr1899n.shtml,National League
1900,https://www.baseball-almanac.com/yearly/yr1900n.shtml,National League
1901,https://www.baseball-almanac.com/yearly/yr1901n.shtml,National League
1902,https://www.baseball-almanac.com/yearly/yr1902n.shtml,National League
1903,https://www.baseball-almanac.com/yearly/yr1903n.shtml,National League
1904,https://www.baseball-almanac.com/yearly/yr1904n.shtml,National League
1905,https://www.baseball-almanac.com/yearly/yr1905n.shtml,National League
1906,https://www.baseball-almanac.com/yearly/yr1906n.shtml,National League
1907,https://www.baseball-almanac.com/yearly/yr1907n.shtml,National League
1908,https://www.baseball-almanac.com/yearly/yr1908n.shtml,National League
1909,https://www.baseball-almanac.com/yearly/yr1909n.shtml,National League
1910,https://www.baseball-almanac.com/yearly/yr1910n.shtml,National League
1911,https://www.baseball-almanac.com/yearly/yr1911n.shtml,National League
1912,https://www.baseball-almanac.com/yearly/yr1912n.shtml,National League
1913,https://www.baseball-almanac.com/yearly/yr1913n.shtml,National League
1914,https://www.baseball-almanac.com/yearly/yr1914n.shtml,National League
1915,https://www.baseball-almanac.com/yearly/yr1915n.shtml,National League
1916,https://www.baseball-almanac.com/yearly/yr1916n.shtml,National League
1917,https://www.baseball-almanac.com/yearly/yr1917n.shtml,National League
1918,https://www.baseball-almanac.com/yearly/yr1918n.shtml,National League
1919,https://www.baseball-almanac.com/yearly/yr1919n.shtml,National League
1920,https://www.baseball-almanac.com/yearly/yr1920n.shtml,National League
1921,https://www.baseball-almanac.com/yearly/yr1921n.shtml,National League
1922,https://www.baseball-almanac.com/yearly/yr1922n.shtml,National League
1923,https://www.baseball-almanac.com/yearly/yr1923n.shtml,National League
1924,https://www.baseball-almanac.com/yearly/yr1924n.shtml,National League
1925,https://www.baseball-almanac.com/yearly/yr1925n.shtml,National League
1926,https://www.baseball-almanac.com/yearly/yr1926n.shtml,National League
1927,https://www.baseball-almanac.com/yearly/yr1927n.shtml,National League
1928,https://www.baseball-almanac.com/yearly/yr1928n.shtml,National League
1929,https://www.baseball-almanac.com/yearly/yr1929n.shtml,National League
1930,https://www.baseball-almanac.com/yearly/yr1930n.shtml,National League
1931,https://www.baseball-almanac.com/yearly/yr1931n.shtml,National League
1932,https://www.baseball-almanac.com/yearly/yr1932n.shtml,National League
1933,https://www.baseball-almanac.com/yearly/yr1933n.shtml,National League
1934,https://www.baseball-almanac.com/yearly/yr1934n.shtml,National League
1935,https://www.baseball-almanac.com/yearly/yr1935n.shtml,National League
1936,https://www.baseball-almanac.com/yearly/yr1936n.shtml,National League
1937,https://www.baseball-almanac.com/yearly/yr1937n.shtml,National League
1938,https://www.baseball-almanac.com/yearly/yr1938n.shtml,National League
1939,https://www.baseball-almanac.com/yearly/yr1939n.shtml,National League
1940,https://www.baseball-almanac.com/yearly/yr1940n.shtml,National League
1941,https://www.baseball-almanac.com/yearly/yr1941n.shtml,National League
1942,https://www.baseball-almanac.com/yearly/yr1942n.shtml,National League
1943,https://www.baseball-almanac.com/yearly/yr1943n.shtml,National League
1944,https://www.baseball-almanac.com/yearly/yr1944n.shtml,National League
1945,https://www.baseball-almanac.com/yearly/yr1945n.shtml,National League
1946,https://www.baseball-almanac.com/yearly/yr1946n.shtml,National League
1947,https://www.baseball-almanac.com/yearly/yr1947n.shtml,National League
1948,https://www.baseball-almanac.com/yearly/yr1948n.shtml,National League
1949,https://www.baseball-almanac.com/yearly/yr1949n.shtml,National League
1950,https://www.baseball-almanac.com/yearly/yr1950n.shtml,National League
1951,https://www.baseball-almanac.com/yearly/yr1951n.shtml,National League
1952,https://www.baseball-almanac.com/yearly/yr1952n.shtml,National League
1953,https://www.baseball-almanac.com/yearly/yr1953n.shtml,National League
1954,https://www.baseball-almanac.com/yearly/yr1954n.shtml,National League
1955,https://www.baseball-almanac.com/yearly/yr1955n.shtml,National League
1956,https://www.baseball-almanac.com/yearly/yr1956n.shtml,National League
1957,https://www.baseball-almanac.com/yearly/yr1957n.shtml,National League
1958,https://www.baseball-almanac.com/yearly/yr1958n.shtml,National League
1959,https://www.baseball-almanac.com/yearly/yr1959n.shtml,National League
1960,https://www.baseball-almanac.com/yearly/yr1960n.shtml,National League
1961,https://www.baseball-almanac.com/yearly/yr1961n.shtml,National League
1962,https://www.baseball-almanac.com/yearly/yr1962n.shtml,National League
1963,https://www.baseball-almanac.com/yearly/yr1963n.shtml,National League
1964,https://www.baseball-almanac.com/yearly/yr1964n.shtml,National League
1965,https://www.baseball-almanac.com/yearly/yr1965n.shtml,National League
1966,https://www.baseball-almanac.com/yearly/yr1966n.shtml,National League
1967,https://www.baseball-almanac.com/yearly/yr1967n.shtml,National League
1968,https://www.baseball-almanac.com/yearly/yr1968n.shtml,National League
1969,https://www.baseball-almanac.com/yearly/yr1969n.shtml,National League
1970,https://www.baseball-almanac.com/yearly/yr1970n.shtml,National League
1971,https://www.baseball-almanac.com/yearly/yr1971n.shtml,National League
1972,https://www.baseball-almanac.com/yearly/yr1972n.shtml,National League
1973,https://www.baseball-almanac.com/yearly/yr1973n.shtml,National League
1974,https://www.baseball-almanac.com/yearly/yr1974n.shtml,National League
1975,https://www.baseball-almanac.com/yearly/yr1975n.shtml,National League
1976,https://www.baseball-almanac.com/yearly/yr1976n.shtml,National League
1977,https://www.baseball-almanac.com/yearly/yr1977n.shtml,National League
1978,https://www.baseball-almanac.com/yearly/yr1978n.shtml,National League
1979,https://www.baseball-almanac.com/yearly/yr1979n.shtml,National League
1980,https://www.baseball-almanac.com/yearly/yr1980n.shtml,National League
1981,https://www.baseball-almanac.com/yearly/yr1981n.shtml,National League
1982,https://www.baseball-almanac.com/yearly/yr1982n.shtml,National League
1983,https://www.baseball-almanac.com/yearly/yr1983n.shtml,National League
1984,https://www.baseball-almanac.com/yearly/yr1984n.shtml,National League
1985,https://www.baseball-almanac.com/yearly/yr1985n.shtml,National League
1986,https://www.baseball-almanac.com/yearly/yr1986n.shtml,National League
1987,https://www.baseball-almanac.com/yearly/yr1987n.shtml,National League
1988,https://www.baseball-almanac.com/yearly/yr1988n.shtml,National League
1989,https://www.baseball-almanac.com/yearly/yr1989n.shtml,National League
1990,https://www.baseball-almanac.com/yearly/yr1990n.shtml,National League
1991,https://www.baseball-almanac.com/yearly/yr1991n.shtml,National League
1992,https://www.baseball-almanac.com/yearly/yr1992n.shtml,National League
1993,https://www.baseball-almanac.com/yearly/yr1993n.shtml,National League
1994,https://www.baseball-almanac.com/yearly/yr1994n.shtml,National League
1995,https://www.baseball-almanac.com/yearly/yr1995n.shtml,National League
1996,https://www.baseball-almanac.com/yearly/yr1996n.shtml,National League
1997,https://www.baseball-almanac.com/yearly/yr1997n.shtml,National League
1998,https://www.baseball-almanac.com/yearly/yr1998n.shtml,National League
1999,https://www.baseball-almanac.com/yearly/yr1999n.shtml,National League
2000,https://www.baseball-almanac.com/yearly/yr2000n.shtml,National League
2001,https://www.baseball-almanac.com/yearly/yr2001n.shtml,National League
2002,https://www.baseball-almanac.com/yearly/yr2002n.shtml,National League
2003,https://www.baseball-almanac.com/yearly/yr2003n.shtml,National League
2004,https://www.baseball-almanac.com/yearly/yr2004n.shtml,National League
2005,https://www.baseball-almanac.com/yearly/yr2005n.shtml,National League
2006,https://www.baseball-almanac.com/yearly/yr2006n.shtml,National League
2007,https://www.baseball-almanac.com/yearly/yr2007n.shtml,National League
2008,https://www.baseball-almanac.com/yearly/yr2008n.shtml,National League
2009,https://www.baseball-almanac.com/yearly/yr2009n.shtml,National League
2010,https://www.baseball-almanac.com/yearly/yr2010n.shtml,National League
2011,https://www.baseball-almanac.com/yearly/yr2011n.shtml,National League
2012,https://www.baseball-almanac.com/yearly/yr2012n.shtml,National League
2013,https://www.baseball-almanac.com/yearly/yr2013n.shtml,National League
2014,https://www.baseball-almanac.com/yearly/yr2014n.shtml,National League
2015,https://www.baseball-almanac.com/yearly/yr2015n.shtml,National League
2016,https://www.baseball-almanac.com/yearly/yr2016n.shtml,National League
2017,https://www.baseball-almanac.com/yearly/yr2017n.shtml,National League
2018,https://www.baseball-almanac.com/yearly/yr2018n.shtml,National League
2019,https://www.baseball-almanac.com/yearly/yr2019n.shtml,National League
2020,https://www.baseball-almanac.com/yearly/yr2020n.shtml,National League
2021,https://www.baseball-almanac.com/yearly/yr2021n.shtml,National League
2022,https://www.baseball-almanac.com/yearly/yr2022n.shtml,National League
2023,https://www.baseball-almanac.com/yearly/yr2023n.shtml,National League
2024,https://www.baseball-almanac.com/yearly/yr2024n.shtml,National League
2025,https://www.baseball-almanac.com/yearly/yr2025n.shtml,National League
1914,https://www.baseball-almanac.com/yearly/yr1914f.shtml,Federal League
1915,https://www.baseball-almanac.com/yearly/yr1915f.shtml,Federal League
1890,https://www.baseball-almanac.com/yearly/yr1890p.shtml,Federal League
1884,https://www.baseball-almanac.com/yearly/yr1884u.shtml,Union Association
1882,https://www.baseball-almanac.com/yearly/yr1882a.shtml,American Association
1883,https://www.baseball-almanac.com/yearly/yr1883a.shtml,American Association
1884,https://www.baseball-almanac.com/yearly/yr1884a.shtml,American Association
1885,https://www.baseball-almanac.com/yearly/yr1885a.shtml,American Association
1886,https://www.baseball-almanac.com/yearly/yr1886a.shtml,American Association
1887,https://www.baseball-almanac.com/yearly/yr1887a.shtml,American Association
1888,https://www.baseball-almanac.com/yearly/yr1888a.shtml,American Association
1889,https://www.baseball-almanac.com/yearly/yr1889a.shtml,American Association
1890,https://www.baseball-almanac.com/yearly/yr1890a.shtml,American Association
1891,https://www.baseball-almanac.com/yearly/yr1891a.shtml,American Association
